time_s,position_cm,theta_deg
0.0,,
0.0010000000000000009,,
0.0020000000000000018,-0.6050682878081279,-393.97508893799187
0.0030000000000000027,-0.590068287808128,-392.810650528114
0.0040000000000000036,-0.5700682878081281,-392.18961670951245
0.0050000000000000044,-0.5550682878081282,-391.44437612719065
0.006000000000000005,-0.5425682878081283,-391.08728168149474
0.007000000000000006,-0.527568287808128,-390.6587683466597
0.008000000000000007,-0.5075682878081281,-390.2302550118247
0.009000000000000008,-0.4925682878081279,-388.9913382455531
0.010000000000000009,-0.4750682878081278,-387.12290069989285
0.01100000000000001,-0.45756828780812775,-383.95574124233383
0.01200000000000001,-0.4425682878081279,-380.0521055481337
0.013000000000000012,-0.42756828780812767,-375.6870467593872
0.014000000000000012,-0.410068287808128,-371.5947136491503
0.015000000000000013,-0.3925682878081279,-367.47249973547133
0.016000000000000014,-0.377568287808128,-364.13551393499847
0.017000000000000015,-0.36006828780812794,-360.564473719819
0.018000000000000016,-0.34256828780812826,-356.69932382505
0.019000000000000017,-0.3250682878081282,-352.5774517564835
0.020000000000000018,-0.3075682878081281,-348.7119274943923
0.02100000000000002,-0.29006828780812804,-344.84644899169444
0.02200000000000002,-0.272568287808128,-340.9959327779634
0.02300000000000002,-0.2550682878081279,-337.1158686092395
0.02400000000000002,-0.24006828780812767,-333.4931013145191
0.025000000000000022,-0.22256828780812796,-329.37082870882614
0.026000000000000023,-0.20506828780812789,-324.7351220895514
0.027000000000000024,-0.19006828780812804,-320.3693150586599
0.028000000000000025,-0.17256828780812797,-315.77191485619045
0.029000000000000026,-0.15506828780812826,-311.16308013746004
0.030000000000000027,-0.14006828780812802,-306.7981515532066
0.031000000000000028,-0.12506828780812818,-302.4328356663455
0.03200000000000003,-0.1075682878081281,-297.7972663775322
0.03300000000000003,-0.09256828780812824,-293.41910411683625
0.03400000000000003,-0.07756828780812804,-288.7946176952837
0.03500000000000003,-0.06256828780812818,-283.93425973008544
0.03600000000000003,-0.04756828780812796,-279.085967291149
0.03700000000000003,-0.035068287808127964,-274.75081946548426
0.038000000000000034,-0.02506828780812782,-270.40987297221903
0.039000000000000035,-0.015068287808128033,-266.0681229047961
0.040000000000000036,-0.005068287808127891,-261.71655025880256
0.041000000000000036,0.0024317121918720373,-257.60876553826347
0.04200000000000004,0.009931712191871967,-252.9866220743521
0.04300000000000004,0.017431712191871895,-249.12954415063035
0.043999999999999984,0.029931712191871896,-245.52960362813633
0.044999999999999984,0.03993171219187168,-242.9582169444297
0.045999999999999985,0.052431712191871684,-241.15824616449567
0.046999999999999986,0.062431712191871824,-240.38683057975135
0.04799999999999999,0.06993171219187175,-239.46113187805804
0.04899999999999999,0.07243171219187197,-239.30684876110922
0.04999999999999999,0.07743171219187203,-239.1217090207706
0.05099999999999999,0.0824317121918721,-238.9365692804319
0.05199999999999999,0.08743171219187218,-237.72385850375042
0.05299999999999999,0.09743171219187233,-235.63775179817333
0.05399999999999999,0.10493171219187225,-233.29471047641482
0.05499999999999999,0.11243171219187217,-229.39802635392778
0.055999999999999994,0.1174317121918719,-225.037925889098
0.056999999999999995,0.12493171219187182,-220.92671214474802
0.057999999999999996,0.12993171219187188,-217.06209762928376
0.059,0.13743171219187184,-212.95052191745935
0.06,0.1424317121918719,-209.3859420572171
0.061,0.14993171219187218,-205.5140119961182
0.062,0.1574317121918721,-201.64996042691257
0.063,0.16493171219187203,-198.04187443662
0.064,0.17243171219187198,-193.89707739918305
0.065,0.1824317121918721,-190.01953241755376
0.066,0.18993171219187205,-186.39921801340836
0.067,0.19743171219187197,-182.508173935123
0.068,0.20743171219187212,-178.38620564575734
0.069,0.21743171219187224,-174.02069543411176
0.07,0.2249317121918722,-169.64174485333052
0.07100000000000001,0.23493171219187198,-165.01888489225917
0.07200000000000001,0.2424317121918719,-160.6669337123638
0.07300000000000001,0.24993171219187182,-156.04346414542874
0.07400000000000001,0.2549317121918719,-151.93343773974107
0.07500000000000001,0.26243171219187184,-147.57944893024006
0.07600000000000001,0.2674317121918719,-142.95520166473307
0.07700000000000001,0.2749317121918722,-138.07383170434537
0.07800000000000001,0.27993171219187224,-133.4582973484574
0.07900000000000001,0.2849317121918723,-129.10681413913875
0.08000000000000002,0.2874317121918725,-125.01742583586866
0.08100000000000002,0.28993171219187275,-120.92734625439539
0.08200000000000002,0.2924317121918726,-116.8404386991042
0.08300000000000002,0.2949317121918725,-112.48675213078332
0.08400000000000002,0.2974317121918723,-107.87054670946293
0.08500000000000002,0.2974317121918723,-102.9855998997333
0.08600000000000002,0.2974317121918723,-98.10061801275629
0.08700000000000002,0.2949317121918725,-94.24021351141153
0.08800000000000002,0.29993171219187253,-90.63622835449337
0.08900000000000002,0.30243171219187237,-87.801416524724
0.09000000000000002,0.30243171219187237,-86.00090546699255
0.09100000000000003,0.3074317121918721,-84.86872235517728
0.09200000000000003,0.309931712191872,-83.51010262099896
0.09300000000000003,0.3049317121918719,-82.92356378708962
0.09400000000000003,0.3049317121918719,-82.21971718639838
0.09500000000000003,0.30743171219187176,-81.51587058570726
0.09600000000000003,0.3049317121918719,-80.40280638884849
0.09700000000000003,0.3049317121918719,-78.49015045303975
0.09800000000000003,0.3049317121918719,-76.0643789643907
0.09900000000000003,0.30243171219187204,-72.45523457686738
0.10000000000000003,0.30243171219187204,-68.36450828251225
0.10100000000000003,0.30243171219187204,-64.27255712963324
0.10200000000000004,0.3049317121918719,-60.16616408811797
0.10300000000000004,0.30743171219187176,-55.78728797013002
0.10400000000000004,0.3099317121918716,-52.45248893316568
0.10500000000000004,0.3124317121918715,-48.812023133276284
0.10600000000000004,0.3149317121918713,-45.44616814357789
0.10699999999999998,0.3149317121918713,-42.350753896813785
0.10799999999999998,0.3149317121918713,-39.23629260559028
0.10899999999999999,0.3149317121918713,-35.60921514436848
0.10999999999999999,0.31743171219187155,-31.743575032162425
0.11099999999999999,0.3199317121918718,-27.585263980280615
0.11199999999999999,0.32243171219187194,-23.684264579789556
0.11299999999999999,0.32493171219187217,-20.07514008434532
0.11399999999999999,0.3274317121918724,-16.189582595719457
0.11499999999999999,0.32993171219187223,-12.304594359028101
0.11599999999999999,0.3324317121918721,-8.45803008690973
0.11699999999999999,0.33493171219187196,-4.354583370896307
0.118,0.33743171219187185,0.005773856488758611
0.119,0.3399317121918717,4.0902353385282595
0.12,0.3399317121918717,8.19307169499541
0.121,0.3399317121918717,12.058759983382174
0.122,0.3399317121918717,15.907877431600127
0.123,0.3399317121918717,19.75732915387323
0.124,0.3399317121918717,23.336041290363937
0.125,0.3399317121918717,27.142860334920215
0.126,0.33743171219187185,30.939925020973305
0.127,0.33493171219187196,34.746125209802585
0.128,0.3324317121918721,38.803435354652834
0.129,0.32993171219187223,43.13293676440162
0.13,0.32493171219187217,46.70485772847428
0.131,0.32243171219187194,50.801796853640894
0.132,0.3174317121918719,54.902746362015364
0.133,0.3124317121918718,58.75886263346831
0.134,0.3049317121918719,61.84377022333831
0.135,0.3049317121918719,65.03151592555844
0.136,0.30243171219187204,67.19096506211883
0.137,0.30243171219187204,68.5842388533448
0.138,0.2949317121918721,69.479875129564
0.139,0.289931712191872,71.17407521117536
0.14,0.27993171219187224,72.25129377481255
0.14100000000000001,0.27243171219187234,73.54395605117713
0.14200000000000002,0.26243171219187217,75.0951507828147
0.14300000000000002,0.26243171219187217,76.36769075620703
0.14400000000000002,0.25993171219187194,77.61092307123795
0.14500000000000002,0.2574317121918718,79.62359440797081
0.14600000000000002,0.25243171219187166,81.67733841351048
0.14700000000000002,0.24993171219187182,84.24219900089747
0.14800000000000002,0.24493171219187176,87.85132665151866
0.14900000000000002,0.2424317121918719,91.41822824193252
0.15000000000000002,0.23743171219187217,94.48349736780813
0.15100000000000002,0.2349317121918723,98.06281554705197
0.15200000000000002,0.23243171219187247,101.64310822193033
0.15300000000000002,0.2274317121918724,104.70561244606336
0.15400000000000003,0.22243171219187233,107.29784636543786
0.15500000000000003,0.2199317121918721,110.40746348607104
0.15600000000000003,0.2174317121918719,112.74651517180166
0.15700000000000003,0.21243171219187182,115.07047609891345
0.15800000000000003,0.20993171219187196,117.9090912896387
0.15900000000000003,0.20743171219187212,121.02040191776632
0.16000000000000003,0.20493171219187226,124.11625853048201
0.16100000000000003,0.2024317121918724,127.96677474421313
0.16200000000000003,0.19993171219187217,131.07692637454602
0.16300000000000003,0.19743171219187197,133.93288703767564
0.16400000000000003,0.19493171219187175,137.02894466706232
0.16500000000000004,0.19243171219187155,139.3552665534387
0.16600000000000004,0.18993171219187133,141.4400164488601
0.16700000000000004,0.18993171219187133,145.03356762587703
0.16800000000000004,0.18743171219187146,148.35365804877983
0.16899999999999998,0.1849317121918716,151.67446468963237
0.16999999999999998,0.18243171219187176,155.7655923555037
0.17099999999999999,0.1799317121918719,159.84474864263814
0.172,0.17743171219187204,163.18279517401038
0.173,0.17493171219187217,166.53484025130263
0.174,0.1724317121918723,169.604565126299
0.175,0.16993171219187247,172.68630983174273
0.176,0.1649317121918724,175.76918900534395
0.177,0.15993171219187233,178.83051418159403
0.178,0.1574317121918721,181.8783598823503
0.179,0.15243171219187204,184.70455868524868
0.18,0.14743171219187196,187.51013786434703
0.181,0.14493171219187212,190.57718078610753
0.182,0.13993171219187203,193.13432002025002
0.183,0.13493171219187197,195.9447851023873
0.184,0.12993171219187188,199.00084407790985
0.185,0.12493171219187182,202.06582642835622
0.186,0.1174317121918719,204.88138005094527
0.187,0.11243171219187217,207.9598173562182
0.188,0.10493171219187225,210.78595748381133
0.189,0.09743171219187233,213.61447963542446
0.19,0.08993171219187239,216.4437733696932
0.191,0.0824317121918721,219.27305907846744
0.192,0.07493171219187182,222.10163050703886
0.193,0.0674317121918719,224.4151730400839
0.194,0.0674317121918719,226.67714685881276
0.195,0.06493171219187169,228.16770448829607
0.196,0.06493171219187169,229.14398442898778
0.197,0.062431712191871824,229.6066929355967
0.198,0.05743171219187175,230.06940144220584
0.199,0.04993171219187183,230.16194314352776
0.2,0.03993171219187204,231.04094253643052
0.201,0.02993171219187225,231.91994192933305
0.202,0.02493171219187218,232.97474120081642
0.203,0.01993171219187211,234.24050032659636
0.20400000000000001,0.012431712191871825,234.643097474804
0.20500000000000002,0.009931712191871611,234.25923693143045
0.20600000000000002,0.00493171219187154,234.1322415364233
0.20700000000000002,-0.0025682878081283887,234.34320139072008
0.20800000000000002,-0.007568287808128104,234.5906434971531
0.20900000000000002,-0.01256828780812782,236.37981508537553
0.21000000000000002,-0.02006828780812775,238.69187494842674
0.21100000000000002,-0.02506828780812782,241.51787328708735
0.21200000000000002,-0.03006828780812789,244.0870618482087
0.21300000000000002,-0.035068287808127964,246.93409500133237
0.21400000000000002,-0.04006828780812803,249.49828154833597
0.21500000000000002,-0.045068287808128105,251.59664450670425
0.21600000000000003,-0.05006828780812818,253.3814248691889
0.21700000000000003,-0.055068287808128245,255.4250581483209
0.21800000000000003,-0.06006828780812832,257.20052999953407
0.21900000000000003,-0.06506828780812839,259.25911743387803
0.22000000000000003,-0.0700682878081281,261.2606401820285
0.22100000000000003,-0.07506828780812783,263.0620687093682
0.22200000000000003,-0.08006828780812754,264.86195363091394
0.22300000000000003,-0.08506828780812761,266.40471328194326
0.22400000000000003,-0.09006828780812767,267.69445349603086
0.22500000000000003,-0.09506828780812775,269.2372194076579
0.22600000000000003,-0.10006828780812782,270.5228585120034
0.22700000000000004,-0.1050682878081279,271.808500766894
0.22800000000000004,-0.11006828780812797,273.86553183192916
0.22900000000000004,-0.11506828780812803,275.66133427960006
0.23000000000000004,-0.11756828780812825,277.71837202765494
0.23100000000000004,-0.12256828780812831,279.7791541334585
0.23200000000000004,-0.1275682878081284,281.83986906217774
0.23300000000000004,-0.1325682878081281,283.39235477980526
0.23400000000000004,-0.13756828780812783,284.9387449582247
0.23500000000000004,-0.14256828780812753,286.7480142464866
0.23600000000000004,-0.1450682878081274,288.81869131477356
0.23700000000000004,-0.15006828780812748,290.6241235799156
0.23800000000000004,-0.15256828780812767,292.16639624600487
0.23900000000000005,-0.15756828780812776,293.7146857985597
0.24000000000000005,-0.16256828780812782,295.01781967312684
0.24100000000000005,-0.16756828780812788,296.30273587464774
0.24200000000000005,-0.17256828780812797,297.33870624465453
0.24300000000000005,-0.17756828780812803,299.15537535804106
0.24400000000000005,-0.18006828780812825,300.71499299592574
0.24500000000000005,-0.18256828780812845,302.05454973160977
0.24600000000000005,-0.18756828780812854,303.1471720025663
0.24700000000000005,-0.1900682878081284,304.4583187277143
0.24800000000000005,-0.19256828780812824,305.24560662972794
0.24900000000000005,-0.1950682878081281,306.5598363593641
0.25000000000000006,-0.20006828780812783,307.56214256142334
0.25100000000000006,-0.2025682878081277,308.83635789597133
0.25200000000000006,-0.20506828780812753,310.66198648385955
0.25300000000000006,-0.2075682878081274,312.48743618535207
0.25400000000000006,-0.21006828780812725,313.80259376869583
0.25500000000000006,-0.21256828780812748,315.11775135203936
0.25600000000000006,-0.21506828780812767,316.4175425073688
0.25700000000000006,-0.2175682878081279,317.2222681952402
0.25800000000000006,-0.2200682878081281,318.0267573085184
0.25900000000000006,-0.22256828780812832,319.0909714147459
0.26000000000000006,-0.22256828780812832,320.667797137771
0.26100000000000007,-0.22256828780812832,321.9880801563214
0.26200000000000007,-0.22506828780812818,323.03349093479846
0.26299999999999996,-0.22756828780812804,323.82247725401896
0.26399999999999996,-0.23006828780812788,324.84774843480045
0.26499999999999996,-0.23256828780812774,325.61675512282557
0.26599999999999996,-0.2350682878081276,326.64212017028615
0.26699999999999996,-0.2350682878081276,327.6674852177466
0.26799999999999996,-0.2350682878081276,328.96997648841045
0.26899999999999996,-0.2350682878081276,329.9954314597427
0.26999999999999996,-0.2350682878081276,331.02092998300645
0.27099999999999996,-0.2350682878081276,331.7900701468353
0.27199999999999996,-0.2350682878081276,332.57968072838935
0.27299999999999996,-0.2350682878081276,333.34842580462373
0.27399999999999997,-0.2350682878081276,334.137820356922
0.27499999999999997,-0.2350682878081276,334.6708242332468
0.27599999999999997,-0.2350682878081276,335.20382810957165
0.27699999999999997,-0.2350682878081276,336.20902161412755
0.27799999999999997,-0.2350682878081276,336.9579544007996
0.27899999999999997,-0.2350682878081276,337.4506144467557
0.27999999999999997,-0.2350682878081276,337.9432744927118
0.28099999999999997,-0.2350682878081276,338.6923748104964
0.282,-0.2350682878081276,338.9488150823246
0.283,-0.2350682878081276,339.2052553541531
0.284,-0.2350682878081276,339.4616956259815
0.285,-0.2350682878081276,339.9745854995921
0.286,-0.2350682878081276,340.23103510137446
0.287,-0.2350682878081276,340.48748470315695
0.288,-0.2350682878081276,340.74393430493944
0.289,-0.2350682878081276,341.0003839067218
0.29,-0.2350682878081276,341.0003839067218
0.291,-0.2350682878081276,341.0003839067218
0.292,-0.2350682878081276,341.0003839067218
0.293,-0.2350682878081276,341.0003839067218
0.294,-0.2350682878081276,341.25684265408324
0.295,-0.23256828780812774,341.51330140144455
0.296,-0.23256828780812774,342.0262278621914
0.297,-0.23006828780812788,342.3022136825258
0.298,-0.22756828780812804,342.5781995028607
0.299,-0.22506828780812818,342.57819950286046
0.3,-0.22506828780812818,342.57819950286046
0.301,-0.22256828780812832,342.32173178947517
0.302,-0.22256828780812832,342.30220471650205
0.303,-0.22256828780812832,342.26484001916526
0.304,-0.22256828780812832,341.9904253091797
0.305,-0.22256828780812832,341.7160105991944
0.306,-0.22256828780812832,341.459551851833
0.307,-0.22256828780812832,341.2030931044717
0.308,-0.2200682878081281,340.96447198147393
0.309,-0.2175682878081279,340.9824279440978
0.31,-0.21506828780812767,341.0003839067218
0.311,-0.21256828780812748,340.9824279440978
0.312,-0.21006828780812725,340.7079024647197
0.313,-0.21006828780812725,340.4333769853414
0.314,-0.21006828780812725,340.176927383559
0.315,-0.2075682878081274,339.9204777817765
0.316,-0.20506828780812753,339.68198414261826
0.317,-0.2025682878081277,339.4436197483856
0.318,-0.20006828780812783,339.18705795323183
0.319,-0.19756828780812796,338.91242028048237
0.32,-0.19756828780812796,338.3995492561372
0.321,-0.19756828780812796,337.8683576666996
0.322,-0.19756828780812796,337.3555058754871
0.323,-0.1950682878081281,336.86085148519555
0.324,-0.19256828780812824,336.36619709490424
0.325,-0.1900682878081284,335.8347929808025
0.326,-0.18756828780812854,335.0651801351588
0.327,-0.18506828780812867,334.53366776311793
0.328,-0.18506828780812867,334.00215539107717
0.329,-0.18256828780812845,333.4893432600087
0.33,-0.18006828780812825,333.25151420434634
0.331,-0.17756828780812803,332.73848144127726
0.332,-0.17506828780812783,332.2254486782083
0.333,-0.1725682878081276,331.45591281328245
0.334,-0.1725682878081276,330.66767670738443
0.335,-0.17006828780812774,329.8794406014864
0.336,-0.16756828780812788,329.62293749962953
0.337,-0.16506828780812804,328.83592220728144
0.338,-0.16256828780812818,328.0488083659038
0.339,-0.16006828780812832,327.2616945245263
0.34,-0.16006828780812832,326.2357751484702
0.341,-0.1575682878081281,324.93548180489177
0.342,-0.1550682878081279,324.1657006518045
0.343,-0.15256828780812767,323.37978528022825
0.34400000000000003,-0.15006828780812748,322.593869908652
0.34500000000000003,-0.14756828780812725,321.80634935053763
0.34600000000000003,-0.14756828780812725,321.0366422684026
0.34700000000000003,-0.1450682878081274,319.99385938809644
0.34800000000000003,-0.14256828780812753,318.96714406316016
0.34900000000000003,-0.1400682878081277,317.68376770437465
0.35000000000000003,-0.13756828780812783,316.3841484817767
0.35100000000000003,-0.13506828780812796,315.3410897507223
0.35200000000000004,-0.1325682878081281,314.571106817839
0.35300000000000004,-0.13006828780812824,314.042867347643
0.35400000000000004,-0.1275682878081284,313.2577705658641
0.35500000000000004,-0.12506828780812854,312.45932972449464
0.35600000000000004,-0.12256828780812867,311.4173926814201
0.35700000000000004,-0.12006828780812846,310.37545563834556
0.35800000000000004,-0.11756828780812825,309.09170607988654
0.35900000000000004,-0.11506828780812803,307.79433931079416
0.36000000000000004,-0.11256828780812782,306.7669701863209
0.36100000000000004,-0.10756828780812774,305.7262673804414
0.36200000000000004,-0.1050682878081279,304.6855645745618
0.36300000000000004,-0.10256828780812803,303.3879551197588
0.36400000000000005,-0.10006828780812818,302.34869498773844
0.36500000000000005,-0.09756828780812832,301.05252450088244
0.36600000000000005,-0.09506828780812811,299.7562775454329
0.36700000000000005,-0.0925682878081279,298.45006281037274
0.36800000000000005,-0.09006828780812767,297.1536595971236
0.36900000000000005,-0.08756828780812746,296.11590023725125
0.37000000000000005,-0.08256828780812739,294.8130557359291
0.37100000000000005,-0.08006828780812754,293.5100677564325
0.37200000000000005,-0.07756828780812768,291.9681770125309
0.37300000000000005,-0.07506828780812783,290.6731473053211
0.37400000000000005,-0.0700682878081281,289.12296282002933
0.37500000000000006,-0.06756828780812825,287.8317247429759
0.37600000000000006,-0.06506828780812839,286.5465019067657
0.37700000000000006,-0.06006828780812832,285.5101496145711
0.37800000000000006,-0.055068287808128245,284.46760918044777
0.37900000000000006,-0.052568287808128035,283.1724309119039
0.38000000000000006,-0.05006828780812782,281.8869521696589
0.38100000000000006,-0.04506828780812775,280.59541506573225
0.38200000000000006,-0.042568287808127894,279.0455705410204
0.38300000000000006,-0.04006828780812803,277.758885615361
0.38400000000000006,-0.035068287808127964,276.7327986969776
0.38500000000000006,-0.03006828780812789,275.96006134034303
0.38600000000000007,-0.02756828780812768,275.18728760150805
0.38700000000000007,-0.022568287808127606,274.1585634717154
0.38799999999999996,-0.017568287808127536,272.8727108812669
0.38899999999999996,-0.015068287808127679,271.32993929345844
0.38999999999999996,-0.010068287808127963,269.5286273742553
0.39099999999999996,-0.005068287808128247,267.98444478796955
0.39199999999999996,-0.0025682878081283887,266.4402342991416
0.39299999999999996,0.002431712191871682,265.15315227096903
0.39399999999999996,0.007431712191871753,264.12318336814565
0.39499999999999996,0.009931712191871967,262.83896404851123
0.39599999999999996,0.014931712191872037,261.2976194583605
0.39699999999999996,0.01993171219187211,259.756311312649
0.39799999999999996,0.022431712191871966,258.21500316693744
0.39899999999999997,0.027431712191872036,256.67371391003906
0.39999999999999997,0.03243171219187211,255.14382100528815
0.40099999999999997,0.03743171219187218,253.6059602127158
0.40199999999999997,0.04243171219187225,252.3203452137766
0.40299999999999997,0.04993171219187218,250.777608762186
0.40399999999999997,0.054931712191871894,248.4635163317696
0.40499999999999997,0.059931712191871614,246.1365821886909
0.40599999999999997,0.06493171219187169,244.0747412039501
0.407,0.06993171219187175,241.76067046194657
0.408,0.07493171219187182,239.44660571333714
0.409,0.0799317121918719,237.65263496327736
0.41,0.08493171219187197,236.11587726114135
0.411,0.08993171219187204,234.57318724784034
0.412,0.0949317121918721,233.54473046801502
0.413,0.09743171219187233,232.56769779148237
0.414,0.10243171219187239,231.90364452824872
0.415,0.10993171219187232,231.36380367316485
0.416,0.11243171219187217,230.82989512924667
0.417,0.11493171219187204,229.7819253682684
0.418,0.12243171219187196,228.41852149899455
0.419,0.12493171219187182,226.4793402197481
0.42,0.12493171219187182,224.67296959314865
0.421,0.1274317121918717,222.35248051597011
0.422,0.13243171219187175,220.02128133024564
0.423,0.13743171219187184,216.93043913748534
0.424,0.13993171219187203,213.83119114898602
0.425,0.14493171219187212,210.7319431604866
0.426,0.14993171219187218,207.37331164066688
0.427,0.15493171219187224,204.53945144645309
0.428,0.15493171219187224,202.7349030507537
0.429,0.15993171219187233,200.68151741286965
0.43,0.1649317121918724,197.8568158948956
0.431,0.16993171219187247,195.80561635882088
0.432,0.17493171219187217,193.5092000213251
0.433,0.1799317121918719,190.95017181095704
0.434,0.1849317121918716,188.90550717489054
0.435,0.1899317121918717,187.3751286980256
0.436,0.19493171219187175,185.59618600404428
0.437,0.19743171219187197,183.291538040668
0.438,0.19993171219187217,181.02269553738392
0.439,0.20493171219187226,179.25444297696652
0.44,0.20743171219187212,176.9864751164912
0.441,0.20993171219187196,174.7428262498297
0.442,0.21243171219187182,172.7398029235037
0.443,0.21493171219187168,170.7193157621117
0.444,0.2174317121918719,168.71230206675443
0.445,0.2199317121918721,166.968471102889
0.446,0.22243171219187233,164.9575704900558
0.447,0.22493171219187252,162.9429861408929
0.448,0.22743171219187275,160.65527539007292
0.449,0.22743171219187275,157.83444282767084
0.45,0.22743171219187275,155.29409777175454
0.451,0.22743171219187275,152.9662959881489
0.452,0.2299317121918726,150.89521300699073
0.453,0.23243171219187247,149.0803005781504
0.454,0.2349317121918723,147.2660802066788
0.455,0.23743171219187217,145.15205413511023
0.456,0.23993171219187204,142.80396158354483
0.457,0.23993171219187204,140.22033676530282
0.458,0.23993171219187204,137.61761507109213
0.459,0.23993171219187204,135.03432402619092
0.46,0.23993171219187204,132.68998400339558
0.461,0.23993171219187204,130.32961315221644
0.462,0.23993171219187204,127.45518195555599
0.463,0.23993171219187204,124.59914728597539
0.464,0.23993171219187204,122.25611172129868
0.465,0.23993171219187204,119.65914294337244
0.466,0.23993171219187204,117.07746824456615
0.467,0.23993171219187204,115.0090983555283
0.468,0.23993171219187204,112.9276308077375
0.46900000000000003,0.2424317121918719,110.8461632599467
0.47000000000000003,0.24493171219187176,109.03568814007986
0.47100000000000003,0.2474317121918716,106.95719803743646
0.47200000000000003,0.24993171219187146,104.87835148963461
0.47300000000000003,0.2524317121918713,103.0602202116579
0.47400000000000003,0.2524317121918713,100.7280299600942
0.47500000000000003,0.2524317121918713,98.13866022958007
0.47600000000000003,0.2524317121918713,96.07385909517973
0.47700000000000004,0.2524317121918713,94.00892891788692
0.47800000000000004,0.2524317121918713,91.95275087263497
